id,title,year,movie_embedding
17,Sense and Sensibility,1995,"[0.009488367,0.017351527,0.015030342,0.037422266,0.010932074,-0.004806222,-0.012291062,0.0011251714,0.013222746,0.0032912141,0.02283595,-0.020656005,0.0049880394,-0.014235327,0.025143694,0.018935286,-0.0041794702,-0.010794214,-0.0169469,0.0053930487,0.0034106679,0.010215435,-0.005222223,0.006737025,0.013515493,0.026651753,0.021173049,0.009715905,0.016609775,-0.007551268,0.0072302013,0.0079511115,0.001368653,-0.01672113,-0.007918704,0.0066888435,0.018155903,0.0046429383,-0.0046054637,0.022442896,-0.01844959,0.009523805,0.00094458874,0.014900758,-0.009126208,0.021955088,0.0005815518,-0.0037845245,0.012320707,-0.012334045,0.009265003,0.007491802,-0.0012449352,0.01271157,-0.006056519,-0.027892968,0.01831469,-0.011740811,0.038058043,0.012059215,-0.016929578,0.021192467,0.022420276,-0.000881476,0.012471118,0.0035913258,0.008751796,0.020808648,-0.012870365,0.027391594,0.0042806347,0.02604321,0.014854576,0.0068374793,0.034583613,0.0015487552,-0.005931516,0.012845418,0.027068915,0.0032129427,-0.028260771,-0.011099216,-0.010294065,0.02847293,0.018536098,-0.008816526,0.021091405,0.017471218,0.019109268,-0.004258895,0.030908177,-0.015365567,0.007890945,-0.0013678327,-0.010535294,0.00783859,0.0021966468,0.017980937,-0.01068798,0.017994141]"
18,Four Rooms,1995,"[-0.05547529,0.021034546,0.020193892,0.0047288314,0.03399604,-0.010322979,-0.0074331337,-0.025091458,0.009401994,0.0016515799,0.042002805,-0.017479643,0.023862924,0.035012566,-0.029660545,0.051879194,-0.012571839,-0.015452836,0.01579209,0.0030452413,0.005834415,0.050660376,-0.054295372,-0.015491151,-0.01583375,-0.003566127,0.024081903,0.05039419,-0.015071638,0.06201009,0.040884268,0.018230578,-0.018089648,-0.06250305,0.003940726,0.020189801,-0.013228752,-0.026327865,0.012917072,0.017764883,0.046413578,-0.0034471576,0.041503616,0.0035237523,-0.035774376,-0.026798781,0.016282685,0.031149002,-0.055818584,-0.05090641,0.009427951,-0.037341375,-0.04420699,0.036533587,0.053185556,0.027102048,0.027953438,-0.023010643,-0.015091866,0.06328809,0.018136917,-0.022654448,0.016767295,0.014476347,-0.0067052837,0.030179001,-0.02374261,0.012494852,-0.019748755,0.009883755,0.031522684,0.004309454,0.015700314,-0.002266966,-0.027368158,-0.05628593,-0.04088245,0.032387808,-0.016978921,0.026405806,0.014301615,0.061788164,-0.026755976,-0.017653938,0.02022208,-0.008243792,0.054066196,0.004279317,0.039048377,-0.013156365,-0.022235125,-0.01109752,0.03151493,0.044295147,-0.006585459,0.014761835,0.05201324,0.02898762,0.04823509,-0.015026708]"
19,Ace Ventura: When Nature Calls,1995,"[0.015819076,-0.033387274,-0.023069037,0.0044336724,0.042549502,-0.0018941225,-0.03179979,0.026701247,0.07871003,-0.0027315791,0.044454962,-0.031446572,0.019385723,-0.0072280816,-0.023359442,-0.009502715,-0.005786394,0.044550538,-0.03158358,-0.021929493,-0.007673111,0.009422928,0.04852177,-0.031551108,-0.017083483,0.01730916,-0.026322145,0.007716203,-0.0027283481,0.040597107,-0.0040276144,-0.04436428,0.058555655,0.012381138,0.023651507,-0.019181538,0.025101913,0.0073319334,0.0025253866,0.026013987,-0.046639692,-0.042651974,0.02704349,-0.021699429,-0.0011786002,0.029023359,0.020404842,-0.003788097,-0.023336286,0.014381063,-0.014162906,0.008931908,0.014366121,-0.013549028,0.04111763,0.04374189,0.006338958,0.01972348,-0.018308554,-0.0017360029,0.020682488,0.021518786,-0.02649328,0.031824846,0.052649766,0.055438373,-0.03174895,0.024789354,0.06258975,-0.035236456,0.013847816,-0.0005301969,-0.0061220294,0.035015192,0.020053092,0.004073445,-0.014139723,-0.023909582,-0.013042635,-0.040826403,0.012406784,-0.0032078535,0.0091488315,-0.0030074602,-0.009374431,-0.050780356,-0.008647962,0.01953663,0.043994237,-0.015845254,0.07072174,0.001972767,-0.0022383686,0.04860154,-0.044985007,-0.03458865,0.082937695,0.036210325,-0.036524612,0.009875529]"
20,Money Train,1995,"[0.052466422,-0.01567411,-0.031217659,-0.0143133495,0.031537246,-0.028128626,0.0013314914,-0.035337754,-0.013382118,-0.017934777,-0.0001742986,-0.0058184084,0.0067916606,-0.029232468,-0.026427133,0.020374754,-0.017944615,0.01869481,-0.0065657254,0.006498814,-0.011251438,0.0138655165,0.013799975,-0.022074955,0.042179964,0.019001449,0.009792007,-0.007890507,-0.017301008,0.034961376,-0.027014459,-0.012242959,0.05875055,-0.023811648,-0.034602582,0.04660794,0.011494111,0.017338026,0.003454356,-0.00033444198,0.020666871,0.009721037,0.0108036725,-0.02310281,0.03109914,0.005460547,0.03989169,-0.027623525,0.0021468548,0.017371595,-0.012708054,0.04099769,0.034594323,-0.0087038865,0.007470638,-0.040931705,-0.016406205,-0.009844618,-0.022693722,-0.011618826,-0.015806267,-0.0007586358,-0.019831037,0.014363716,0.01264928,-0.0060742935,-0.033698857,0.01961132,0.018869434,-0.04594731,0.040475976,0.03351473,0.032192204,0.016605582,-0.004142518,0.022930542,-0.006219988,-0.008316992,0.010047796,-0.0017657763,-0.006311025,0.04295973,0.021293148,0.008317409,-0.014179199,-0.0068333936,-0.013014757,0.002759648,-0.01479576,-0.013025794,-0.012943544,-0.024968745,-0.021585984,-0.01398296,0.022487024,-0.0020610248,0.025786556,0.017160773,0.002856362,-0.013289836]"
21,Get Shorty,1995,"[0.035675604,0.018593002,-0.012415899,0.012770414,-0.045719456,0.057138436,0.014694034,0.038064472,0.032185316,0.011231739,0.03645904,0.0007058459,-0.0015936529,0.027217312,-0.0095571345,-0.022813424,-0.00840591,-0.08018801,0.02649318,0.025461422,0.0031264678,-0.012563978,0.011315842,0.033395834,-0.018985566,-0.01855939,-0.016059058,0.03014793,-0.034598816,0.048507437,0.010394465,-0.022007303,-0.011656584,0.04562203,0.027920816,0.07063921,0.003974809,-0.0127703445,0.03271243,0.025304938,-0.026537247,0.008601968,0.0039651524,-0.025896836,-0.016490936,-0.016707895,-0.001640073,0.0097156055,-0.01623824,-0.008271188,-0.010483058,-0.04260502,0.034615178,0.0038233676,0.03812495,-0.014627992,0.032507055,-0.0044952757,-0.026899287,-0.057906434,0.01410926,-0.0011847166,-0.011633961,0.03612357,-0.003284006,0.02189006,0.023273664,-0.013627991,-0.022883944,-5.662552e-06,0.00048520602,-0.0011237991,0.042813916,-0.0029239836,0.00013974182,0.02071109,0.009502878,-0.013613036,0.0077707684,-0.039819457,-0.0045126514,-0.009110418,-0.039409127,0.01972445,0.038623422,-0.035662714,0.024482638,0.004744652,-0.024915013,0.04307479,-0.021890638,0.012226439,0.018041557,-0.007009744,-0.0027248343,0.05756062,0.04235156,-0.03207565,-0.013994899,0.01331726]"
22,Copycat,1995,"[-0.017633855,0.0014212225,0.025494635,0.0079708,-0.01587492,0.011006263,0.026296914,0.013541531,0.011825977,0.0101379715,-0.009205656,0.0037367097,-0.007362879,0.0017672151,0.011164407,-0.000111897265,-0.0115746185,0.034341663,0.0070862575,-0.0010009471,-0.022877527,0.009727167,0.0066199033,0.00019796283,0.00025839725,0.001256274,0.0016302825,-0.03293228,0.013122395,0.009860413,-0.005676645,0.014255127,0.024368277,0.016827432,-0.02005308,0.002235775,0.008279508,0.029431231,0.0065261004,-0.011076192,-0.00090106897,-0.0018231953,-0.0097556105,-0.012835337,-0.008142123,0.008293254,0.030951435,0.004332651,0.024621645,0.024914231,0.0059651555,-0.014541611,0.019664293,-0.0012627057,0.0024738132,-0.013122214,0.019130155,-0.030081067,0.0073473267,-0.013123602,0.029791152,0.004910145,-0.0055969907,-0.0054526697,0.013298714,0.019007353,-0.020970894,-0.0022056226,0.010558244,0.006284953,-0.0036445775,-0.0042003533,-0.0013581739,-0.012175445,-0.0066739707,0.0032893696,0.006593566,0.0009209048,0.014045727,0.014550151,0.012199523,0.021168908,-0.004143817,0.014432336,0.007829567,0.011848531,-0.006860433,-0.018827233,0.0012653845,0.00083480694,-0.004382027,-0.006043895,0.01871798,0.017685154,0.0012096929,0.02249714,0.01580446,0.017776234,-0.0034439648,0.0149275465]"
23,Assassins,1995,"[-0.017795788,0.022821793,0.0045976657,0.017711788,-0.020412847,-0.0023685358,0.024572734,0.01513822,0.03612231,0.013386283,-0.006881379,0.008337204,0.024862517,-0.012259348,-0.012058674,-0.011066991,-0.0022553187,0.03024106,-0.017158948,-0.016483856,-0.01559695,-0.007154659,-0.0015814748,0.008609265,0.000649307,-0.016009668,0.028809916,0.012142832,-0.012709256,0.0012451493,-0.017956238,0.026454382,0.013521351,0.013655935,-0.007030099,0.039188813,0.00076641934,-0.01213721,-0.003169203,0.021205833,-0.0014625504,-0.011291856,0.0009806985,-0.015934419,-0.0023504419,0.02186413,0.018038893,0.019301545,-0.0001854267,-0.0068910164,-0.014566185,-0.0010326906,-0.0079591945,0.010703613,-0.030889595,-0.008161527,-0.008871233,0.0038574392,0.013191522,0.0048906817,-0.031169787,0.015864505,0.011287043,0.031223612,0.009299884,0.0040286235,0.021150714,0.014619659,0.018551871,0.009535047,-0.010982016,0.006371337,0.030921722,-0.03532191,0.0043170187,-0.03448358,-0.0031849947,-0.004524815,-0.019832388,-0.00841849,-0.03700384,0.025080467,-0.012503079,-0.008486191,0.03382646,0.01054028,0.029475236,0.00066251785,-0.005785277,-0.0005352839,-0.00023390845,-0.031000348,-0.019448187,-0.020607831,0.03398524,-0.008688507,0.0058905864,0.036895104,0.006663779,0.023392966]"
27,Now and Then,1995,"[0.02525398,-0.010644838,0.026918808,0.016017234,-0.0030246254,-0.0008720794,-0.023269143,0.012338785,-0.01477221,-0.006684775,0.01663256,0.021815462,0.00802596,0.015957905,-0.021193126,0.0041841143,-0.008864014,-0.018718608,-0.021521902,-0.008156779,0.005997732,0.003983975,0.04399219,0.007718377,0.014093569,0.007971517,0.015578853,0.0065558045,-0.01473117,-0.0014533128,0.026238946,0.015875628,0.0014994914,0.02008994,-0.047560338,-0.001278831,-0.027032044,-0.024766486,-0.010474619,0.04575087,-0.0019874529,-0.008590097,-0.0025571166,-0.013264305,0.017725423,0.0058852336,0.00393888,0.0038039305,0.0303973,-0.0019786581,0.008427231,0.0153645305,0.033276014,-0.012017043,0.026931683,-0.022500673,-0.010450712,0.0010423587,-0.001653785,-0.043087687,-0.0071431715,0.009895979,-0.004582191,0.014328733,0.021744618,0.016429232,-0.008182485,0.0018211104,-0.0021518075,-0.01093266,0.009323914,0.0051824064,0.0043986617,0.007784894,0.0007183256,0.008128194,-0.02778636,0.018292785,0.0094586,0.005763589,-0.005269046,0.033628564,-0.0030560389,0.008505527,0.027770871,0.012581829,-0.010540992,0.051922712,0.01644533,-0.026137464,-0.0137679875,-0.01166433,0.006792848,-0.0015364251,-0.010401228,0.00084133545,0.01949874,0.025772527,0.024078194,-0.04018785]"
28,Persuasion,1995,"[-0.026921662,0.014847178,-0.0034316054,0.029325612,0.03155233,-0.003701202,0.01930799,-0.04487275,-0.0059929206,0.04250637,-0.005721559,0.0076665366,0.069427714,-0.023379745,-0.013519354,-0.023456044,-0.017290115,0.049505625,-0.028975774,0.0076579982,-0.02295923,0.029053334,0.010142353,0.037390187,-0.029651977,0.030690806,-0.032436404,0.010013119,0.0019308272,-0.00096578686,-0.045248356,0.014784548,-0.018700441,0.04855075,0.03252767,-0.05878976,0.04358467,0.0310671,0.029709347,-0.04159982,-0.027048808,-0.03533666,0.06247388,-0.017441157,-0.02380485,-0.02508283,0.014147869,0.018183753,0.044866223,-0.0059113954,0.008623211,0.047598105,0.0033529024,0.007335195,0.02494349,-0.01047844,-0.033292197,-0.06675231,0.033331566,0.0035562841,0.062863715,-0.011858474,0.049017508,0.033643406,-0.005900995,-0.02266124,-0.029957939,-0.00601119,-0.038754668,0.02626465,-0.016282301,0.0073767016,0.0063268202,0.006377544,0.0378615,0.013869754,0.013320538,-0.045101866,-0.033484288,-0.018995155,-0.020833476,0.041400034,-0.029258417,0.027522141,0.053947248,0.022465123,0.024669245,0.011479298,0.015297795,0.012102791,-0.005506935,-0.045718163,0.03767936,-0.011777955,0.00789259,0.040279828,0.009556383,0.044647608,-0.039289832,-0.025164435]"
29,"City of Lost Children, The (Cité des enfants perdus, La)",1995,"[0.0052066594,-0.00883003,0.012313161,0.04475238,-0.01813299,0.016254371,-0.0057483334,-0.0058256113,-0.006155923,0.014288286,0.009585003,-0.0070761605,0.009769636,0.002580694,-0.0020319985,-0.004196398,0.008306826,0.012536227,-0.0137918275,0.0030251674,0.0052838875,-0.006375318,0.009421638,-0.0027722109,-0.015265383,0.0015693023,-0.010141756,0.0091101425,0.032540236,-0.012545708,-0.008947062,-0.00790744,-0.006376184,-0.016422277,-0.021242557,-0.021426363,-0.0059759663,0.015469688,-0.020170694,0.01263241,0.009318016,0.020183804,-0.038954724,-0.019116549,-0.0015762339,0.01397285,0.027880525,0.009198547,0.02013675,-0.0015696844,0.027035108,0.010693029,0.011683608,-0.0038744137,-0.0031381147,0.0038082732,-0.0053808223,-0.008919889,-0.0015382889,0.018392272,0.015625063,0.018655026,0.018806295,-0.0044914563,-0.012067024,-0.0047575803,0.007005343,-0.020453215,0.004221338,-0.008425886,0.0022639167,0.014465641,0.021295547,-0.0055696657,0.019742176,0.010930827,0.005008574,0.022811744,0.0057619843,0.0017690478,-0.013403034,0.012486695,-0.019159686,-0.004467738,0.01980267,-0.006348009,0.019845068,0.021572655,0.014779806,-0.024049133,0.005900659,-0.037684552,0.011117117,0.0010296799,0.012833469,0.061134286,-0.006518372,-0.00917524,0.038236678,-0.00262663]"
